year,month,anomaly_c
1970,Sep,0.13
1970,Oct,0.03
1970,Nov,0.02
1970,Dec,-0.12
1971,Jan,-0.02
1971,Feb,-0.15
1971,Mar,-0.18
1971,Apr,-0.07
1971,May,-0.05
1971,Jun,-0.16
1971,Jul,-0.08
1971,Aug,-0.01
1971,Sep,-0.05
1971,Oct,-0.04
1971,Nov,-0.07
1971,Dec,-0.08
1972,Jan,-0.22
1972,Feb,-0.18
1972,Mar,0.03
1972,Apr,0.0
1972,May,-0.03
1972,Jun,0.04
1972,Jul,0.01
1972,Aug,0.16
1972,Sep,0.02
1972,Oct,0.08
1972,Nov,0.02
1972,Dec,0.18
1973,Jan,0.29
1973,Feb,0.32
1973,Mar,0.29
1973,Apr,0.27
1973,May,0.23
1973,Jun,0.19
1973,Jul,0.13
1973,Aug,0.05
1973,Sep,0.09
1973,Oct,0.1
1973,Nov,0.04
1973,Dec,-0.07
1974,Jan,-0.1
1974,Feb,-0.27
1974,Mar,-0.05
1974,Apr,-0.11
1974,May,-0.04
1974,Jun,-0.05
1974,Jul,-0.03
1974,Aug,0.1
1974,Sep,-0.08
1974,Oct,-0.06
1974,Nov,-0.08
1974,Dec,-0.08
1975,Jan,0.1
1975,Feb,0.08
1975,Mar,0.13
1975,Apr,0.04
1975,May,0.16
1975,Jun,-0.01
1975,Jul,-0.01
1975,Aug,-0.17
1975,Sep,-0.02
1975,Oct,-0.11
1975,Nov,-0.17
1975,Dec,-0.17
1976,Jan,-0.03
1976,Feb,-0.06
1976,Mar,-0.22
1976,Apr,-0.07
1976,May,-0.2
1976,Jun,-0.12
1976,Jul,-0.1
1976,Aug,-0.12
1976,Sep,-0.06
1976,Oct,-0.24
1976,Nov,-0.06
1976,Dec,0.11
1977,Jan,0.19
1977,Feb,0.23
1977,Mar,0.24
1977,Apr,0.26
1977,May,0.33
1977,Jun,0.27
1977,Jul,0.2
1977,Aug,0.18
1977,Sep,0.02
1977,Oct,0.03
1977,Nov,0.16
1977,Dec,0.03
1978,Jan,0.06
1978,Feb,0.1
1978,Mar,0.19
1978,Apr,0.17
1978,May,0.09
1978,Jun,-0.01
1978,Jul,0.04
1978,Aug,-0.14
1978,Sep,0.06
1978,Oct,0.03
1978,Nov,0.14
1978,Dec,0.08
1979,Jan,0.08
1979,Feb,-0.1
1979,Mar,0.19
1979,Apr,0.15
1979,May,0.03
1979,Jun,0.14
1979,Jul,0.04
1979,Aug,0.17
1979,Sep,0.25
1979,Oct,0.26
1979,Nov,0.28
1979,Dec,0.48
1980,Jan,0.29
1980,Feb,0.39
